bin,twi,proportion,cells
1,2.747071505,0.020440585,2.044058462
2,3.074482679,0.0585681,5.856809998
3,3.601932764,0.071595001,7.159500106
4,4.050879955,0.127621267,12.76212667
5,4.506243229,0.171467909,17.14679093
6,4.973930836,0.188519381,18.85193815
7,5.419303417,0.169243804,16.92438043
8,5.861245155,0.082080068,8.208006778
9,6.32499361,0.037174327,3.717432747
10,6.802228451,0.019381487,1.938148697
11,7.270264626,0.013874179,1.38741792
12,7.735461235,0.008049142,0.804914213
13,8.231701851,0.005930947,0.593094683
14,8.688372612,0.003071383,0.307138318
15,9.100720406,0.000847278,0.084727812
16,9.606959343,0.001270917,0.127091718
17,10.04399395,0.001270917,0.127091718
18,10.61984634,0.001059098,0.105909765
19,11.04951382,0.001270917,0.127091718
20,11.46537304,0.002012286,0.201228553
21,11.92414951,0.000953188,0.095318788
22,12.4405899,0.003283203,0.328320271
23,12.85788727,0.002541834,0.254183436
24,13.3272686,0.002859564,0.285956365
25,13.83462524,0.001800466,0.1800466
26,14.19852829,0.001906376,0.190637577
27,14.73961449,0.001270917,0.127091718
28,15.25521564,0.00010591,0.010590976
29,15.66702652,0.000423639,0.042363906
30,16.36386299,0.00010591,0.010590976